TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-22 21:34:49,1771796089731,portfoliosantossergio.vercel.app/favicon.ico,GET,,304,vq7qb-1771796089731-a3154ce41b40,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio.vercel.app,portfoliosantossergio-q3526wlr4-sergios-projects-72ebb38b.vercel.app,dpl_8mDW6xCFvdtVfmvopHA6zGfWApsX,6,gru1,256,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ3MDJW7EHRCYE1VA5VVE5GF,4blok7SOCkin,1
2026-02-22 21:34:49,1771796089731,portfoliosantossergio.vercel.app/favicon.ico,GET,,304,vq7qb-1771796089731-a3154ce41b40,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/[lang],portfoliosantossergio.vercel.app,portfoliosantossergio-q3526wlr4-sergios-projects-72ebb38b.vercel.app,dpl_8mDW6xCFvdtVfmvopHA6zGfWApsX,23,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-22 21:34:49,1771796089489,portfoliosantossergio.vercel.app/pt-BR,GET,,304,zlld7-1771796089489-7ae04931c49c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio.vercel.app,portfoliosantossergio-q3526wlr4-sergios-projects-72ebb38b.vercel.app,dpl_8mDW6xCFvdtVfmvopHA6zGfWApsX,6,gru1,256,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ3MDJMNJFKCSW1GZCXR1D86,4blok7SOCkin,1
2026-02-22 21:34:49,1771796089489,portfoliosantossergio.vercel.app/pt-BR,GET,,304,zlld7-1771796089489-7ae04931c49c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/pt-BR,portfoliosantossergio.vercel.app,portfoliosantossergio-q3526wlr4-sergios-projects-72ebb38b.vercel.app,dpl_8mDW6xCFvdtVfmvopHA6zGfWApsX,27,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-22 21:34:49,1771796089426,portfoliosantossergio.vercel.app/pt,GET,,307,zlld7-1771796089426-048d8d8c87f8,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,,middleware,/_middleware,portfoliosantossergio.vercel.app,portfoliosantossergio-q3526wlr4-sergios-projects-72ebb38b.vercel.app,dpl_8mDW6xCFvdtVfmvopHA6zGfWApsX,7,gru1,256,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ3MDJJXVQRJ7QKYZ70NQJ37,4blok7SOCkin,1
2026-02-22 21:34:49,1771796089426,portfoliosantossergio.vercel.app/pt,GET,,307,zlld7-1771796089426-048d8d8c87f8,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,,redirect,/pt,portfoliosantossergio.vercel.app,portfoliosantossergio-q3526wlr4-sergios-projects-72ebb38b.vercel.app,dpl_8mDW6xCFvdtVfmvopHA6zGfWApsX,32,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-22 21:34:49,1771796089359,portfoliosantossergio.vercel.app/,GET,,307,vq7qb-1771796089359-c8758d2c122e,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,,redirect,/,portfoliosantossergio.vercel.app,portfoliosantossergio-q3526wlr4-sergios-projects-72ebb38b.vercel.app,dpl_8mDW6xCFvdtVfmvopHA6zGfWApsX,9,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-22 21:34:07,1771796047188,portfoliosantossergio.vercel.app/favicon.ico,GET,,304,56wx8-1771796047188-65f79cac0416,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio.vercel.app,portfoliosantossergio-q3526wlr4-sergios-projects-72ebb38b.vercel.app,dpl_8mDW6xCFvdtVfmvopHA6zGfWApsX,6,gru1,256,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ3MC9AZPTT3GQ3BMXR2YQYN,4blok7SOCkin,1
2026-02-22 21:34:07,1771796047188,portfoliosantossergio.vercel.app/favicon.ico,GET,,304,56wx8-1771796047188-65f79cac0416,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/[lang],portfoliosantossergio.vercel.app,portfoliosantossergio-q3526wlr4-sergios-projects-72ebb38b.vercel.app,dpl_8mDW6xCFvdtVfmvopHA6zGfWApsX,32,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-22 21:34:07,1771796047007,portfoliosantossergio.vercel.app/pt-BR,GET,,304,wvkr4-1771796047007-972319443d7a,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio.vercel.app,portfoliosantossergio-q3526wlr4-sergios-projects-72ebb38b.vercel.app,dpl_8mDW6xCFvdtVfmvopHA6zGfWApsX,9,gru1,256,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ3MC959ND2PSXTE77J52FDA,4blok7SOCkin,1
