TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-24 01:05:54,1771895154690,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/pt-BR,GET,_rsc=181np,200,6rqjx-1771895154690-be18c49cc22d,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,PRERENDER,middleware,/_middleware,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,11,gru1,241,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ6JWT087N8W5YYTAXDHF6WG,vS20NZGLgSe6,1
2026-02-24 01:05:54,1771895154690,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/pt-BR,GET,_rsc=181np,200,6rqjx-1771895154690-be18c49cc22d,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,PRERENDER,static,/pt-BR.segments/_tree.segment,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,195,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-24 01:05:54,1771895154551,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/favicon.ico,GET,,200,6rqjx-1771895154551-bb0b75d55dd4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,10,gru1,240,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ6JWSWFBST4YD4R1PZBNAPV,vS20NZGLgSe6,1
2026-02-24 01:05:54,1771895154551,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/favicon.ico,GET,,200,6rqjx-1771895154551-bb0b75d55dd4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/[lang],portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,279,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-24 01:05:53,1771895153660,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/1fdcba7abbe4164c.js,GET,,200,qvjn8-1771895153660-c598304d3aff,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,358,gru1,239,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ6JWS4QYDBCS4AGQRZAR10Z,vS20NZGLgSe6,1
2026-02-24 01:05:53,1771895153660,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/1fdcba7abbe4164c.js,GET,,200,qvjn8-1771895153660-c598304d3aff,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/_next/static/chunks/1fdcba7abbe4164c.js,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,692,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-24 01:05:53,1771895153660,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/8ac4d24796364246.js,GET,,200,967cn-1771895153660-d5d853246b77,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,367,gru1,238,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ6JWS4658PRKW04M471FBNM,ZiudRvpLbg2k,1
2026-02-24 01:05:53,1771895153660,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/8ac4d24796364246.js,GET,,200,967cn-1771895153660-d5d853246b77,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/_next/static/chunks/8ac4d24796364246.js,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,663,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/b0f6f4acea218e7b.js,GET,,200,qzhxv-1771895153649-1b80c07bf6f4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,7,gru1,251,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ6JWS544N20YBP8SDE83ZGY,H3RM51WTQCut,1
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/b0f6f4acea218e7b.js,GET,,200,qzhxv-1771895153649-1b80c07bf6f4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/_next/static/chunks/b0f6f4acea218e7b.js,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,346,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/f071538b8076b322.js,GET,,200,qvjn8-1771895153649-28646e0899e6,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,7,gru1,250,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ6JWRZP60FTQP6T41WA7Z8F,H3RM51WTQCut,1
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/f071538b8076b322.js,GET,,200,qvjn8-1771895153649-28646e0899e6,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/_next/static/chunks/f071538b8076b322.js,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,231,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/turbopack-403be086344e2cad.js,GET,,200,nkqn5-1771895153649-e98ceb82a911,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,7,gru1,250,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ6JWRZS8844VMH5ZFBNQ8V5,H3RM51WTQCut,1
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/turbopack-403be086344e2cad.js,GET,,200,nkqn5-1771895153649-e98ceb82a911,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/_next/static/chunks/turbopack-403be086344e2cad.js,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,239,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/edbc5e12d4955653.js,GET,,200,l2455-1771895153649-a698f848c51e,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,7,gru1,251,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ6JWS4658PRKW04M1B2Z9N3,H3RM51WTQCut,1
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/edbc5e12d4955653.js,GET,,200,l2455-1771895153649-a698f848c51e,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/_next/static/chunks/edbc5e12d4955653.js,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,344,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/4f1ab9f39c2a3760.js,GET,,200,jn5bv-1771895153649-794087f5b56b,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,10,gru1,250,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ6JWRZM7FFAC80JF1VYTWCP,H3RM51WTQCut,1
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/4f1ab9f39c2a3760.js,GET,,200,jn5bv-1771895153649-794087f5b56b,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/_next/static/chunks/4f1ab9f39c2a3760.js,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,217,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/cfbd93e0ef7de663.js,GET,,200,jn5bv-1771895153649-0e4b811d1c96,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,8,gru1,251,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ6JWRZXF20N6081M36E8RVZ,H3RM51WTQCut,1
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/cfbd93e0ef7de663.js,GET,,200,jn5bv-1771895153649-0e4b811d1c96,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/_next/static/chunks/cfbd93e0ef7de663.js,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,260,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/a1f3d095538b46a0.js,GET,,200,gp2h2-1771895153649-5dbe492f1bf9,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,363,gru1,238,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ6JWS4RTDXJ1DY47FBAPSK0,GwvJGKkqS6Mt,1
2026-02-24 01:05:53,1771895153649,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app/_next/static/chunks/a1f3d095538b46a0.js,GET,,200,gp2h2-1771895153649-5dbe492f1bf9,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/_next/static/chunks/a1f3d095538b46a0.js,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,portfoliosantossergio-9zn7274pf-sergios-projects-72ebb38b.vercel.app,dpl_3TuD2ENBHhd3sKwNfqJ3MXCB7bM4,702,gru1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
