TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-22 01:48:54,1771724934364,portfoliosantossergio.vercel.app/pt,GET,_rsc=1kxr7,200,zcbps-1771724934364-30d097df9f0f,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio.vercel.app,portfoliosantossergio-q9330e7fl-sergios-projects-72ebb38b.vercel.app,dpl_4KQBqE32dNqZNufDVTvr7VimadQT,8,iad1,245,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ1GJ372064GMND9YH13E3QZ,E2QBkE0EFobm,1
2026-02-22 01:48:54,1771724934364,portfoliosantossergio.vercel.app/pt,GET,_rsc=1kxr7,200,zcbps-1771724934364-30d097df9f0f,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,static,/pt.segments/$d$lang.segment,portfoliosantossergio.vercel.app,portfoliosantossergio-q9330e7fl-sergios-projects-72ebb38b.vercel.app,dpl_4KQBqE32dNqZNufDVTvr7VimadQT,342,iad1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-22 01:48:54,1771724934364,portfoliosantossergio.vercel.app/pt,GET,_rsc=tqohh,200,v4sr4-1771724934364-7b20f8dd7a30,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio.vercel.app,portfoliosantossergio-q9330e7fl-sergios-projects-72ebb38b.vercel.app,dpl_4KQBqE32dNqZNufDVTvr7VimadQT,13,iad1,241,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ1GJ370ZZZN2YFG8C8S8TZQ,E2QBkE0EFobm,1
2026-02-22 01:48:54,1771724934364,portfoliosantossergio.vercel.app/pt,GET,_rsc=tqohh,200,v4sr4-1771724934364-7b20f8dd7a30,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,static,/pt.segments/_index.segment,portfoliosantossergio.vercel.app,portfoliosantossergio-q9330e7fl-sergios-projects-72ebb38b.vercel.app,dpl_4KQBqE32dNqZNufDVTvr7VimadQT,279,iad1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-22 01:48:54,1771724934364,portfoliosantossergio.vercel.app/pt,GET,_rsc=7uv5a,200,7wfw8-1771724934364-e058609939af,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio.vercel.app,portfoliosantossergio-q9330e7fl-sergios-projects-72ebb38b.vercel.app,dpl_4KQBqE32dNqZNufDVTvr7VimadQT,8,iad1,239,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ1GJ371GWHR0HVN0RJXREA4,E2QBkE0EFobm,1
2026-02-22 01:48:54,1771724934364,portfoliosantossergio.vercel.app/pt,GET,_rsc=7uv5a,200,7wfw8-1771724934364-e058609939af,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,static,/pt.segments/_head.segment,portfoliosantossergio.vercel.app,portfoliosantossergio-q9330e7fl-sergios-projects-72ebb38b.vercel.app,dpl_4KQBqE32dNqZNufDVTvr7VimadQT,236,iad1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-22 01:48:54,1771724934364,portfoliosantossergio.vercel.app/pt,GET,_rsc=7i0b4,200,7jl2k-1771724934364-212aec33795e,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio.vercel.app,portfoliosantossergio-q9330e7fl-sergios-projects-72ebb38b.vercel.app,dpl_4KQBqE32dNqZNufDVTvr7VimadQT,8,iad1,240,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ1GJ372064GMND9YHZ675K7,E2QBkE0EFobm,1
2026-02-22 01:48:54,1771724934364,portfoliosantossergio.vercel.app/pt,GET,_rsc=7i0b4,200,7jl2k-1771724934364-212aec33795e,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,static,/pt.segments/$d$lang/__PAGE__.segment,portfoliosantossergio.vercel.app,portfoliosantossergio-q9330e7fl-sergios-projects-72ebb38b.vercel.app,dpl_4KQBqE32dNqZNufDVTvr7VimadQT,286,iad1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
2026-02-22 01:48:53,1771724933955,portfoliosantossergio.vercel.app/pt,GET,_rsc=eqsj1,200,v4sr4-1771724933955-05336dd50c28,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,middleware,/_middleware,portfoliosantossergio.vercel.app,portfoliosantossergio-q9330e7fl-sergios-projects-72ebb38b.vercel.app,dpl_4KQBqE32dNqZNufDVTvr7VimadQT,9,iad1,239,2048,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,01KJ1GJ2T7CDFB6EJW0Z8J9EAY,E2QBkE0EFobm,1
2026-02-22 01:48:53,1771724933955,portfoliosantossergio.vercel.app/pt,GET,_rsc=eqsj1,200,v4sr4-1771724933955-05336dd50c28,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,static,/pt.segments/_tree.segment,portfoliosantossergio.vercel.app,portfoliosantossergio-q9330e7fl-sergios-projects-72ebb38b.vercel.app,dpl_4KQBqE32dNqZNufDVTvr7VimadQT,312,iad1,,,,prj_nuwDPd5rky2AmbtYpP1bm6scEyBw,,,,,
